Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,totalsc,gender,age,source,country
4,4,2,3,3,2,2,2,2,1,25,1,26,3,DE
3,3,1,4,3,3,2,2,3,2,26,2,30,3,MY
2,2,2,3,2,1,2,2,2,2,20,1,29,3,US
4,4,3,3,4,3,3,3,3,3,33,2,53,1,GB
3,3,3,3,2,3,2,2,2,2,25,1,24,1,BR
3,2,3,2,3,3,3,2,2,2,25,2,24,3,US
3,3,3,3,3,2,2,2,2,2,25,2,32,1,HR
3,3,4,2,4,3,3,4,3,4,33,2,22,3,US
4,4,4,4,4,3,3,4,3,4,37,1,36,3,KY
4,4,4,4,4,4,4,4,4,4,40,2,33,3,MY
4,3,4,3,4,4,3,4,3,4,36,1,47,1,CA
3,3,3,3,2,3,2,2,2,2,25,2,15,3,MY
4,4,4,3,4,4,4,4,4,4,39,2,21,1,US
3,3,3,3,2,2,2,3,1,1,23,1,28,2,US
4,4,4,4,4,4,4,4,4,4,40,2,50,1,US
3,3,1,2,1,2,1,1,1,1,16,2,28,3,US
4,4,2,3,4,3,3,2,2,4,31,2,33,3,JP
3,3,3,4,3,3,2,2,2,2,27,2,23,3,DE
2,3,1,2,1,1,1,1,1,1,14,2,22,1,SG
4,4,4,4,4,4,4,4,4,4,40,1,51,3,DE
3,3,4,3,3,3,4,4,3,4,34,1,49,3,BA
3,3,2,3,2,2,2,2,2,2,23,1,52,3,US
3,3,4,3,4,2,2,2,2,3,28,2,42,3,NZ
3,3,3,3,3,2,3,1,2,3,26,2,28,3,US
3,3,3,4,2,2,1,1,2,2,23,2,30,3,GB
3,3,3,4,3,4,3,1,3,3,30,2,22,3,US
4,4,3,4,3,2,2,1,2,2,27,1,25,1,US
3,4,3,3,3,3,3,2,3,3,30,1,35,3,CH
3,3,2,3,2,1,2,1,1,1,19,1,47,1,FR
3,4,3,3,3,3,3,3,2,4,31,2,37,3,TR
4,3,4,4,4,4,3,1,4,1,32,1,17,3,IN
3,3,3,4,2,3,3,4,3,3,31,2,22,1,CA
2,2,2,2,2,1,1,2,1,1,16,2,32,1,GB
2,2,1,2,1,2,1,2,1,2,16,2,29,3,US
3,2,2,3,2,2,2,2,2,2,22,2,18,1,US
4,4,4,4,4,4,4,4,4,4,40,1,47,1,AZ
3,3,4,3,4,2,2,3,2,3,29,1,45,1,US
4,3,2,3,3,3,3,2,3,3,29,1,25,3,IN
3,3,3,3,1,2,3,2,3,3,26,1,19,1,CA
4,4,4,4,4,4,3,3,2,2,34,1,22,3,US
3,3,2,2,2,2,1,1,1,2,19,1,26,1,NO
3,3,2,3,2,2,3,2,2,2,24,2,44,1,US
3,4,3,2,2,2,2,2,2,2,24,2,23,3,RO
3,4,3,3,4,3,2,2,3,3,30,2,56,3,US
3,3,3,4,2,2,3,3,2,2,27,1,17,3,US
